term,frequency
hangs from a delicate silver chain around her neck. **environment & atmosphere:** the scene unfolds in a ruined,1
rain soaked city,1
likely inspired by edo period japan or a similar ancient culture. buildings are crumbling stone structures,1
partially submerged in floodwaters reflecting the stormy sky. the rain is a torrential downpour,1
creating shimmering,1
distorted reflections. the color palette is dominated by cool tones – deep blues,1
grays,1
and blacks,1
punctuated by the silver of her armor and the subtle glow of the storm. lighting is primarily diffused and atmospheric,1
coming from intermittent flashes of lightning illuminating the cityscape in stark,1
brief moments. the ground is slick and reflective,1
mirroring the chaos above. the air is thick with moisture and the scent of rain and decay. **action & details:** she moves with a fluid,1
economical grace,1
each step deliberate and measured. rain droplets cling to her hair and clothing. her gaze is fixed forward,1
unwavering,1
suggesting she is tracking a target or navigating a treacherous situation. the overall mood is one of quiet tension,1
solemnity,1
and a hint of danger. **technical details:** photorealistic rendering,1
global illumination,1
subsurface scattering,1
ultra high resolution,1
dramatic perspective,1
side ponytail,1
1other,1
red moon,1
red sky,1
in a scene that evokes a sense of whimsy and curiosity,1
an adorable white cat with striking blue eyes sits curiously inside a large brown cardboard box that has been opened. the cat's fur is soft and fluffy,1
contrasting with the rough texture of the cardboard. the box is filled with a few scattered raindrops,1
suggesting it may have just rained or is about to. the background is an urban setting,1
possibly an alley,1
with a dilapidated building featuring a peeling wall next to a tree that has lost some of its leaves. the ground is wet and shiny,1
reflecting the light from the surrounding buildings. despite the urban surroundings,1
there's a tranquility to the scene due to the gentle drizzle and the quiet curiosity of the cat. the atmosphere is one of solitude and exploration,1
as the cat seems to have found its own personal fortress amidst the city's bustling life. the lighting is soft and diffused,1
creating a sense of calmness in the scene.,1
box,1
water drop,1
in container,1
white fur,1
animalization,1
cardboard box,1
in box,1
direct lighting,1
colored eyeglasses lenses,1
deformed:1.2,1
poor detailed,1
back view,1
bent,1
dull composition,1
poorly rendered textures,1
minimal lighting,1
zpdxlxxx neg,1
morphed fingers,1
bad fingernails,1
low quality eyes,1
door,1
text bobble,1
murkily,1
poorly rendered face,1
overexposed.,1
white text,1
white muzzle,1
alternative text,1
incomplete text,1
see through clothes,1
hoops,1
hoop earrings,1
eyebrow piercing,1
holding object,1
open shirt,1
cleavage window,1
shaved head,1
nipple rings,1
unstable neg,1
illusion neg,1
warhammer 40,1
000,1
extra barrel,1
tube,1
sheep,1
eyepatch,1
written text,1
bald girl,1
mixed style,1
teeth worst quality,1
bad anatomy undetailed cgi render anti airbrushing undetailed eyes and thin and sketch and unclear,1
duplicate watermark,1
poorly drawn hands disfigured,1
distorted arms,1
detached arms,1
ilya kuvshinov,1
lcm dress,1
modeus helltaker,1
orange fur,1
artifact,1
deformed hands:3,1
worst quality depth of field,1
reflectionsverybadimagenegative v1.3,1
cyberrealistic negative:0.8,1
face distorted,1
horrors,1
painted,1
green leg,1
groin,1
green dress,1
pencil skirt,1
over/under saturated,1
over/under exposed,1
amateur art:1.3,1
incorrect white balance:1.2,1
image with artifacts,1
lace,1
poorly drawn face:2,1
poorly drawn fingers:2,1
owres,1
large fence,1
wrost quality,1
canvas frame,1
wierd colors,1
bad faces,1
big boobs,1
giant tits,1
worst quality:2.00,1
low quality:2.00,1
normal quality:2.00,1
microphone. hat. sunglasses. headset. buddha,1
yallow,1
pubic,1
worst quality:1.7,1
low quality:1.7,1
blurry:1.7,1
interlocked leg:1.2,1
succubus wings,1
succubus horn,1
succubus hairstyle,1
balls,1
tecticles,1
too fat,1
huge buttocks,1
huge butt,1
broken arm,1
fat body,1
bald,1
thick waist,1
fat waist,1
bone,1
censored lowres,1
plants,1
muscular female arms,1
numbers,1
jpeg artifacting,1
text bubble,1
word bubble,1
word box,1
broken nose,1
deformed nose,1
group,1
huge head,1
giant head,1
head bigger than body,1
big forehead,1
glistening eyes,1
shiny eyes,1
bra strap,1
nails,1
multi limb,1
multi arm,1
web adress,1
twitter logo,1
twitter name,1
6+ fingers,1
badly drawn legs,1
skindentation,1
artist,1
koma,1
halo:2,1
doesnotexist,1
fuze,1
amputation. tattoo,1
abbreviated sketches,1
specificity of place,1
direct expression,1
reference,1
lineup,1
bad foreshortening,1
multiple tongue,1
2 in 1,1
fused nose,1
spaghetti straps,1
abberations,1
wood parts,1
branches,1
abnormal lips,1
lips abberations,1
cleft lip,1
extra finges,1
hand abberations,1
finger abberations,1
manly,1
lactation,1
tiptoes,1
weibo username,1
{bad},1
dogenegxl 64v neg,1
long deformed neck,1
holding dress,1
cyberrealistic negative,1
grains,1
disproportioned,1
uncreative,1
homogenous,1
low level contrast,1
stock image,1
stock photo,1
bad fan art,1
lazy art,1
stacked background,1
unsmooth,1
less creative,1
3d: 0.9,1
bad texture,1
bad clarity,1
bad ambient occlusion,1
close up portrait,1
female abs,1
athletic female,1
merged character,1
upper teeth,1
jpeg artifacts:1.5,1
sfw:1.5,1
1girl:1.5,1
adorable,1
computer generated,1
joyful,1
hands:2,1
feet:2,1
red pupils,1
intersex:1.1,1
herm,1
gynomorph,1
pink theme,1
hornless,1
no horns,1
goat horn,1
body outline,1
explict,1
skimpy,1
butt outline,1
hair ring,1
embedding:smoothnegative hands neg embedding:smooth negative neg,1
hairband:1.5,1
distorted clothes,1
duplicate body,1
skirt liftâââ,1
technology,1
animal:1.2,1
panda,1
mechanical wings,1
jpg artifacts,1
female eyes,1
female eyelashes,1
small,1
flag,1
visible face,1
less fingers,1
unrealistic hands,1
awkward hand positions,1
incorrect finger count,1
extra legs:1.5,1
bad artist:1.0,1
fritz lang and shinya tsukamoto,1
jack burton drinking beer,1
brigandine,1
walt disney 1937,1
hisasi,1
marc riboud,1
hans thoma,1
tony roberts,1
portrait of paulette goddard,1
elegant evening gowns!,1
luminescent fabrics,1
children\'s illustration,1
lush pastoral woodland scene,1
jean dupas,1
children playing at the beach,1
color page,1
kamakura scenery,1
landscape from a car window,1
an alley in paris in winter,1
chateau frontenac,1
without color,1
negfeet neg:1.5 watermark,1
headwear,1
remove watermarks,1
remove background,1
convert to [american comic style] while keeping the [main subject/composition] unchanged,1
bloomâââ,1
ultra detailed digital painting,1
breathtaking realism,1
a young woman walking away from the viewer,1
slight turn of the body,1
focused on the back,1
long flowing dark teal hair cascading down her back,1
a subtle wind effect causing the hair to swirl,1
iridescent highlights catching the light,1
a single raindrop clinging to a strand of hair,1
the rain reflecting in her dark,1
intense violet eyes,1
a pale porcelain skin tone with subtle freckles scattered across her nose and cheeks,1
slender build with graceful movements,1
wearing a distressed white oversized t shirt revealing a delicate silver chain necklace with a small,1
dark teal gemstone pendant,1
worn black combat boots with subtle scuff marks,1
a dark teal leather jacket with patches and studs,1
a thin black belt with a silver buckle,1
her arms relaxed at her sides,1
hands slightly open as if holding something unseen,1
her legs extended,1
one foot slightly forward,1
the toes curled slightly,1
a subtle shadow cast by the rain and ambient light,1
wet pavement reflecting the neon glow of the city,1
the background is a vibrant,1
bustling cyberpunk cityscape at night,1
towering holographic advertisements flashing with colorful geometric patterns,1
neon signs in japanese and english characters,1
rain slicked streets reflecting the lights,1
blurred figures walking in the distance,1
the sky is a bruised purple and grey,1
with occasional glimpses of stars,1
volumetric lighting creating god rays piercing through the rain clouds,1
a sense of melancholic beauty and urban isolation,1
shallow depth of field focusing on the character's back,1
intricate detail in the clothing textures,1
skin pores,1
hair strands,1
and rain droplets,1
the overall color palette is dominated by dark teal,1
and neon colors,1
ambient sound of rain and distant city noise,1
photorealistic rendering,1
unreal engine 5.,1
apron,1
back,1
long skirt,1
kneepits,1
lamppost,1
road sign,1
puddle,1
pantylines,1
traffic light,1
crosswalk,1
storefront,1
ship,1
neghand,1
thigh muscle,1
long body:1.2,1
logo:1,1
front lighting,1
face lighting,1
bad fingers anatomy,1
bad face anatomy,1
worst face anatomy,1
bad eye anatomy,1
worst eye anatomy,1
worst nose,1
color chair,1
color uniform,1
girl body,1
nazis details,1
nazi uniform,1
nazi,1
in front view pose,1
violet color tongue,1
light sabers,1
magic runes,1
straightened cloak is behind,1
white t shirt,1
wet skin:1.2,1
uniform,1
red bow,1
scrunchie,1
blazer,1
cardigan,1
high ponytail,1
red necktie,1
black socks,1
loafers,1
school bag,1
striped necktie,1
diagonal stripes,1
blue socks,1
briefcase,1
diagonal striped necktie,1
naked:1.3,1
nude:1.2,1
broken finger:1.2,1
fused finger,1
fewer finger:1.1,1
bad nail,1
unconnected arm,1
bad pupils:1.2,1
bad eyes:1.1,1
female pubic hair:1.2,1
negative hand score 4,1
fake animal ears,1
spots and lines on skin:2,1
sprite,1
pixel art,1
deformed teeth,1
deformed lips,1
malformed body parts,1
poorly drawn hands 3d,1
3d render fewer digits,1
cleavage cutout:1.2,1
dust,1
black checkered ribbon hairband,1
black cat ears,1
negative hands. low quality,1
watermark:1.9,1
nude:1.4,1
areola slip:1.4,1
nipple slip:1.4. imperfect eyes,1
head,1
arms,1
exposed navel,1
bare stomach,1
boob cutout,1
chest gap,1
boob window,1
missing teeth,1
ribs,1
bones,1
backlit,1
pointly ears on pink. bad anatomy,1
bright eyes,1
pg13,1
mini skirt,1
pantie,1
sexy tights,1
sexy stockings,1
blue rose,1
sepia ubbp,1
updn,1
dfc,1
mutated head,1
clitoris,1
exta penis,1
slicked back,1
hairbun,1
no teeth,1
missing teeth:0.6,1
armpit hair,1
red skin,1
artist sign,1
bad male anatomy,1
bad female anatomy,1
bad explicit,1
bad facial expression,1
disappearing hands,1
fused body part,1
fused digits,1
hand with more than 5 digits,1
hand with less than 5 digits,1
jpeg artefacts,1
arabic,1
interlocked fingers:1.4,1
emphasis lines,1
tail:2,1
black clothing,1
bad hands 5 sdxl,1
normal,1
unexciting,1
unadventurous,1
centered composition,1
balanced figure in the foreground,1
robed person in the foreground,1
trans,1
mid,1
oversized anatomy,1
narrowed eyes,1
:1.6,1
poster,1
mid twenties,1
stands within a sun drenched clearing deep within an ancient,1
moss draped forest. the view angle is a low angle shot,1
emphasizing her stature and connection to the towering trees. the camera angle is slightly wide,1
capturing her full presence within the expansive scene. **character description:** her skin is a rich,1
warm olive tone,1
subtly flushed with the rosy hues of the late afternoon sun. her face is striking – high cheekbones,1
a delicate jawline,1
and full lips painted with a subtle hint of berry red. her eyes are large and almond shaped,1
a mesmerizing shade of emerald green,1
reflecting an inner intensity and wisdom. they are slightly narrowed in a contemplative gaze. her hair is a cascade of thick,1
wavy,1
raven black,1
reaching down to her mid back,1
interwoven with strands of shimmering gold and iridescent teal feathers – a deliberate and intricate adornment. the feathers subtly catch the light,1
creating a halo effect. she wears a flowing,1
floor length gown crafted from layers of silk in muted earthy tones: deep forest green,1
ochre,1
and slate grey. the fabric drapes elegantly,1
hinting at movement despite the stillness of the clearing. the bodice is intricately embroidered with silver thread depicting stylized leaves and vines. her arms are bare,1
with subtle muscle definition beneath the fabric. her hands are delicately posed,1
one hand resting gently on a smooth,1
ancient stone,1
the other reaching forward as if offering a gesture of peace. her legs are long and graceful,1
clad in soft,1
supple leather boots the color of dark mahogany. her feet are bare,1
subtly tanned by the sun. a single,1
exquisitely crafted silver pendant hangs from a delicate chain around her neck – a stylized depiction of a soaring hawk. **atmosphere & lighting:** the lighting is diffused and warm,1
primarily filtered through the dense canopy of the forest. the dominant color palette is a symphony of greens – emerald,1
jade,1
olive – punctuated by the warm browns and ochres of the earth. subtle golden light streams through gaps in the leaves,1
creating dappled shadows on the ground and illuminating her face with a soft glow. there’s a palpable sense of serenity and ancient magic. glow effects highlight the feathers and the silver pendant,1
giving the impression of subtle,1
ethereal energy. **background:** the clearing itself is surrounded by colossal trees – ancient oaks and beeches,1
their trunks thick with moss and gnarled roots. ferns and wildflowers carpet the ground,1
creating a vibrant undergrowth. a small,1
crystal clear stream meanders through the clearing,1
reflecting the sunlight. the air feels thick with moisture and the scent of pine and damp earth. in the distance,1
the forest continues indefinitely,1
shrouded in a gentle mist. **action/pose:** she is in a calm,1
meditative pose,1
radiating a quiet power and connection to nature. her posture is relaxed yet alert,1
suggesting a deep understanding of her surroundings. **keywords:** fantasy,1
magic,1
stream,1
ancient forest,1
low angle,1
volumetric lighting.,1
personification,1
+ +,1
rabbit,1
forehead mark,1
creature,1
feather hair ornament,1
facepaint,1
harpy,1
winged arms,1
distorted pure organic forms,1
traditional realism,1
soft natural textures,1
historical painting techniques,1
bright color palettes,1
minimal technological influence,1
breasts outline,1
multiple flowers,1
mutiliated,1
standard quality,1
25 years or younger,1
claevage,1
sexy.,1
fringe,1
holding cigarette,1
fat hips,1
fat legs,1
wide brim hat,1
string,1
tentacle hair,1
tentacle legs,1
medium penis,1
stamp,1
no machine in chest,1
jpeg artifact,1
cat girl,1
nomal quality,1
boy:1.3,1
extra fingers. extra arms,1
by bad artist,1
unnatural poses,1
ornaments,1
ribbons,1
saturated colors,1
winking,1
gpo,1
aca,1
aer,1
api,1
fla,1
gcx,1
hll,1
hnj,1
gpc,1
fii,1
fey,1
fbv,1
evg,1
iew,1
ifl,1
igh,1
iwj,1
iwp,1
ixb,1
ixe,1
ixz,1
jaf,1
jbm,1
jfb,1
jsf,1
jyk,1
kmz,1
ksh,1
kxg,1
kzg,1
lbv,1
zac,1
yle,1
zmj,1
szw,1
uiw,1
vfe,1
par,1
pdl,1
qdl,1
mbo,1
mtd,1
gor,1
bhz,1
dit,1
frw,1
fnaf,1
bmo,1
zbi:0.5,1
lazyneg 1760455,1
sharp,1
lines,1
texl,1
tight fitting t shirt,1
melting halo,1
dripping halo,1
retro artstyle,1
undetailed eyes,1
dull colours,1
lackluster,1
abominations,1
more than 2 hand,1
switched feet,1
split image,1
split screen,1
multi panel,1
same face,1
tanned skin,1
kneeling,1
qr,1
deformed pupils:1.1,1
deformed iris:1.1,1
white suit,1
white jacket,1
male masturbating,1
3d:1.1,1
high resolution,1
detailed texture,1
emotional depth,1
dramatic mood,1
serene atmosphere,1
existences in the background,1
towering mountains loom,1
all interwoven to create a sense of rhythm and flow. abstract,1
absurd,1
ernest looking down on a word transforms in the background,1
hyeronimus bosch. dark blues and citron green,1
patterns,1
hypnotic,1
art by careening into peace.,1
none,1
bad artist:0.7,1
full shading,1
opaque,1
shading,1
pockets,1
deepnegative xl v1,1
flames,1
double bun,1
loose hair,1
hair down,1
beanie,1
fused toes,1
clubbed fingers,1
clubbed toes,1
mature,1
straps,1
[cyberrealistic negative neg,1
fastnegativev2:0.8::0.8]|[deformed,1
disfigured:1.25,1
mutated hands and fingers:1.3,1
amputation::0.6],1
unrealisticdream:0.6},1
bodies,1
negative hand negg,1
distorted arm,1
detached arm,1
liquid hand,1
extra body,1
completely nude,1
blurry:2.0,1
family friendly,1
distorted tubes,1
broken cables,1
revealing clothes,1
distorted feet,1
exposed gential,1
bare chest,1
misaligned,1
hourglass,1
similar faces,1
duplicate face,1
squint,1
handicapped,1
physical disability,1
bad colors,1
bad rendering,1
disproportionate body,1
high saturation,1
thick,1
girl in background,1
fake breasts,1
elven ears,1
multiple cocks,1
patreon watermark,1
double eyelids,1
embedding:negative\negative hand neg,1
embedding:negative\ng deepnegative v1 75t,1
embedding:negative\verybadimagenegative v1.3,1
embedding:negative\easynegativev2,1
embedding:hairdetailpxl,1
embedding:ffacedetailxl,1
embedding:eyedetailpxl,1
embedding:skindetailpxl,1
embedding:imgfixerpre0.3,1
embedding:zpdxl2 neg,1
blurry:1.3,1
d[ ]b dever,1
magic symbols,1
headgear,1
website,1
breasts apart,1
fused hands:1.2,1
monochrome background,1
3heads,1
three heads,1
3arms,1
5arms,1
6arms,1
7arms,1
8arms,1
3hands,1
5hands,1
6hands,1
7hands,1
8hands,1
peeing,1
saturation,1
disfigured:1.15,1
mutated hands and fingers:1.2,1
cross eyes,1
hairpins,1
face piercing,1
crotch tattoo,1
poker cards,1
drinking straw,1
childs,1
minors,1
moiré pattern,1
marks,1
more text,1
author,1
bland,1
unoriginal,1
washed out,1
rating questionable,1
gigantic breasts,1
trousers,1
leggings,1
legs spread,1
range skin,1
multiple eyelids,1
clevage,1
anus,1
visible nipples,1
not enough fingers,1
dark scene,1
furry.,1
naked doctor,1
man with double penises,1
public hair:1.2,1
hand bag,1
purse,1
hang hold bag,1
hand hold purse:1.2,1
hand hold,1
tie,1
white background:1.2,1
wide lips:0.5,1
french,1
wild hair,1
mouth open,1
lights,1
hands: 1.0,1
duplicated,1
duplicate body parts,1
text in top left corner,1
wrist band,1
tiger tail on link,1
talons,1
orange leaves,1
multiple trees,1
2trees,1
unnatural hands,1
bad visuals,1
bad background:1.4,1
worst quality:1,1
low quality:1,1
normal quality:1,1
:1.15,1
a breathtakingly beautiful elven sorceress,1
standing confidently amidst a mystical twilight grove,1
approximately 30 years of age,1
bathed in ethereal,1
shimmering light. the camera angle is a dramatic low angle,1
emphasizing her power and presence,1
creating a sense of awe and respect. shot with a shallow depth of field,1
focusing sharply on her face and upper body,1
with a soft,1
bokeh effect blurring the background. **character description:** * **race:** high elf – possessing classic elven features refined with an aristocratic elegance. * **age:** approximately 30 years – bearing subtle signs of wisdom and experience in her eyes. * **posture:** standing tall and upright,1
with a relaxed but alert stance,1
one hand resting on her hip,1
the other raised slightly as if channeling magical energy. * **face:** strikingly beautiful with high cheekbones,1
a delicately sculpted jawline,1
and a strong,1
determined brow. her expression is one of quiet confidence and barely concealed power. * **eyes:** intense,1
piercing silver grey eyes that seem to hold ancient secrets and a hint of raw magic. they glow with a faint,1
internal luminescence,1
intensifying with the magical energy she commands. * **skin:** fair,1
porcelain skin with a subtle rosy undertone,1
flawless and unblemished,1
hinting at a life of refined care. * **hair:** long,1
cascading silver white hair,1
intricately braided with interwoven strands of shimmering amethyst beads and polished moonstone. the braids are meticulously crafted,1
reflecting the light and adding to her regal appearance. the hair flows down her back and shoulders,1
partially obscuring her garments. * **clothing:** she wears a flowing gown crafted from dark indigo silk,1
embroidered with intricate silver patterns depicting celestial constellations and swirling arcane symbols. the gown is slightly sheer,1
revealing glimpses of her fair skin and allowing the magical energy to subtly shimmer through. the sleeves are long and billowy,1
ending in delicate pointed cuffs adorned with tiny silver bells that chime softly in the breeze. a finely crafted silver belt cinches her waist,1
holding a pouch filled with shimmering gemstones and arcane components. * **accessories:** around her neck,1
she wears a silver amulet shaped like a crescent moon,1
pulsating with a faint,1
cool light. several ornate silver rings adorn her fingers. she wears high boots,1
the same dark indigo as her gown,1
reaching mid calf. * **hands:** her hands are slender and graceful,1
elegant fingers,1
perfectly manicured and holding a glowing crystal orb that emits a soft,1
azure light. **background:** * **setting:** a secluded twilight grove within an ancient,1
primeval forest. towering trees with moss draped branches filter the fading sunlight,1
dramatic shadows. * **atmosphere:** the air is thick with a mystical stillness,1
charged with arcane energy. a gentle,1
ethereal mist hangs in the air,1
further enhancing the sense of mystery and enchantment. * **lighting:** the primary light source is the fading twilight,1
golden glow that contrasts sharply with the cool blue light emanating from the crystal orb in her hands and her eyes. dramatic shadows add depth and dimension to the scene. * **time:** late afternoon,1
just as the sun begins to dip below the horizon. * **season:** autumn – leaves of crimson,1
and russet scattered across the forest floor,1
adding a touch of vibrant color to the scene. * **weather:** calm,1
with a slight breeze rustling through the leaves. **action:** the sorceress is actively channeling a powerful spell,1
her hands moving with practiced grace,1
and a stream of shimmering azure energy flowing from the crystal orb,1
illuminating the surrounding trees. the expression on her face is one of intense concentration and serene power. **color palette:** deep indigo,1
azure blue,1
crimson,1
russet,1
pale grey,1
with subtle hints of shimmering amethyst and moonstone.,1
arms behind back,1
white flower,1
shoulder armor,1
gauntlets,1
pauldrons,1
pixiv id,1
easynegative:0.85,1
bad artist anime:0.7,1
[asex neg:ugly:0.4],1
plain simple background,1
blank eyes,1
hydrokinesis,1
morph,1
overcrowded,1
untidy,1
muddy,1
undecided,1
unaware,1
burn,1
melting,1
unprecise,1
unbalanced,1
artefacts,1
pierced,1
writings,1
scripture,1
logo sex,1
penetration:1.4,1
identical twins,1
jpegs,1
screeming,1
embedding:urn:air:sd1:embedding:civitai:222256@250712,1
red fire,1
hair on vagina,1
bra strap:1.3,1
bra:1.3,1
deformed areola's,1
split nipples,1
too many nipples,1
zpdxlpg neg,1
zpdxlrl neg,1
brunette,1
brown,1
brad pitt,1
regular face,1
mouth,1
eyebrows,1
watermark:2,1
white letters:1,1
wrong feet bottom render,1
abdominal stretch,1
briefs,1
knickers,1
kecks,1
bad proportion body to legs,1
wrong toes,1
weird toes,1
2 body,1
2 pussy,1
2 upper,1
2 lower,1
2 head,1
3 hand,1
3 feet,1
extra long leg,1
super long leg,1
mirrored image,1
mirrored noise,1
anime:1.4,1
recorder:1.5,1
straw,1
poor composition,1
hands together,1
soft shading,1
messy lines,1
high detail,1
text error,1
spelling error,1
studio,1
pinkeye,1
too bright,1
too dark,1
sheer,1
autographed: 1.5,1
unsigned,1
pasties,1
poorly designed fashion,1
blobs,1
skin art,1
marker ink on skin,1
face to wall,1
blurry:1.1,1
nsfw:1.1,1
grainy:1.1,1
source explicit,1
boobies,1
shirtless,1
belly button,1
midriff:1.1,1
grey background:1.3,1
| | low quality | | text logos | | watermarks | | signatures | | out of frame | | jpeg artifacts | | ugly | | poorly drawn | | extra limbs | | extra hands | | extra feet | | backwards limbs | | extra fingers | | extra toes | | unrealistic,1
bad anatomy | | cut off body pieces | | strange body positions | | impossible body positioning | | mismatched eyes | | cross eyed | | crooked face | | crooked lips | | unclear | | undefined | | mutations | | deformities | | off center | | poor composition | | duplicate faces | | plastic | | fake | | tiny | | negativity | | blurry | | blurred | | doll | | unclear,1
cyberrealistic negative sdxl neg,1
worst hand,1
ugly face:1.2,1
poorly drown hands,1
malformed legs,1
malformed arms,1
mutated feets,1
multiple genital,1
misplaced genitals,1
fused feet fingers,1
more than five fingers,1
mutated bodies,1
wrinkled body,1
text on clothes,1
no,1
embedding:sdxl\negativexl d,1
embedding:sdxl\deepnegative xl v1,1
midres,1
badhands,1
badartist,1
badartistanime,1
badprompt,1
badimages,1
asymetrical outfit,1
undetailed face,1
signature:1.2,1
lazynegv2,1
soft lighting,1
cutesy,1
pastel palette,1
slim,1
nipples view,1
turtle neck,1
yurika uniform1,1
signatures,1
extra people,1
stable yogis pdxl negatives neg,1
undressing,1
exaggerated lips,1
high necked shirt,1
multiple logos,1
low quality body,1
large hands,1
golf club,1
skirt lifted,1
path,1
lettering,1
car,1
frilly,1
loose skirt,1
blue clothes,1
wristbands,1
bra straps,1
orange bra,1
multiple handles,1
huge eyes:1.2,1
worst face:1.5,1
blurry:2,1
bad hands:1.2,1
multiple limbs:1.2,1
interlocked fingers:1.5,1
ugly fingers:1.5,1
no font,1
no text,1
1worst x000e @quality:1.6,1
normal quality:1.6,1
goth1cpxl,1
in the foreground,1
a young woman with striking blue eyes and flowing blonde hair stands in the middle of a dusty street. she's dressed in a futuristic steampunk style,1
donned in a vibrant red jacket that contrasts with her black pants and matching knee high boots. a white shirt peeks out from under the jacket,1
and she wears a brown scarf wrapped around her neck. over her left shoulder rests a gold colored gun,1
its metallic surface gleaming under the sunlight. the woman holds a sword in her right hand,1
ready for action. her gaze is directed straight ahead,1
suggesting she's focused on something out of frame. the street she stands on is lined with wooden buildings and rusted iron railings,1
hinting at an old western town setting. in the background,1
there are other people,1
some of whom appear to be watching her from a distance. they seem to be going about their daily lives,1
undeterred by the armed woman's presence. the sky above is a clear blue with no clouds,1
indicating a bright and sunny day. there are no visible texts or distinctive brands in the image.,1
multiple boys,1
black thighhighs,1
2boys,1
zettai ryouiki,1
thigh strap,1
swept bangs,1
thigh boots,1
brown footwear,1
knee boots,1
goggles,1
cloak,1
motor vehicle,1
brown gloves,1
grey skirt,1
o ring,1
high waist skirt,1
brown skirt,1
belt buckle,1
red cape,1
suspender skirt,1
brown thighhighs,1
brown belt,1
motorcycle,1
harness,1
thighhighs under boots,1
bicycle,1
utility pole,1
striped skirt,1
goggles around neck,1
chest harness,1
desert,1
wire,1
vertical striped skirt,1
brown cape,1
rubble,1
steampunk,1
yellow cape,1
orange cape,1
inconsistent lighting,1
moe,1
head tilting,1
injured,1
extra colour swap,1
wrong colour,1
black and white images,1
greyscale images,1
deformed toes,1
deformed belly button,1
face tattoo,1
black and white:1.5,1
prosthesis,1
oversized limbs,1
older female,1
night city,1
ponyxl negscore break extra fingers,1
side bangs,1
side part,1
black man,1
nurse,1
nurse uniform,1
hospital,1
mhxl neg,1
no pens,1
no quill,1
np markers,1
no erasers,1
ink pens,1
colored pencils,1
paints,1
embedding:bad picture chill 75v,1
embedding: sd xlnegativexl d,1
embedding: sd xlunaestheticxl2v10,1
easynegative:0.8,1
bang,1
leans on the wall,1
three ears,1
white frame:1.2,1
fat face,1
outline:1.3,1
uterus,1
bad animal skin,1
bad animal anatomy,1
bad animal body,1
bad animal face,1
bad animal teeth,1
bad animal parts,1
<lora:wrong003:0.9>,1
not a real tiger,1
pateron,1
easynegative:1.4,1
manga effect,1
anime effect lines,1
anger lines,1
frustration lines,1
exasperation lines,1
emotion lines:1.2,1
hair tucked behind ear:1.3,1
backlight:1,1
estra arms,1
high leg,1
signiture,1
child:1,1
small pupils,1
detached hand,1
penetration,1
cum in ass,1
cum in pussy,1
photo realistic,1
faded,1
bad face composition,1
broken legs,1
white clothing,1
tattoos,1
pink lips,1
negativexld,1
bar censor:1.1,1
messy drawing,1
amateur drawing,1
western anime style,1
clear,1
midday,1
harsh light,1
breast slip,1
unspeakable horrors composition 4v,1
shame,1
small character,1
messy background,1
dark colors,1
extremely detailed,1
photorealistic portrait of a stunningly beautiful woman,1
standing in a desolate,1
windswept coastal cliffside overlooking a turbulent,1
dark grey ocean. low angle shot,1
hyperdetailed. **character:** the woman is positioned slightly off center,1
facing away from the viewer,1
creating a sense of mystery and vulnerability. her body language is subtly tense,1
a slight downward tilt of her head conveying a melancholic mood. she’s approximately 28 years old. * **skin:** porcelain skin with subtle imperfections – faint freckles dusting her high cheekbones,1
delicate capillaries visible on her wrists. texture is incredibly realistic,1
with visible pores and subtle variations in tone. * **hair:** raven black,1
slightly damp from the sea air. individual strands are realistically rendered with subtle highlights and shadows,1
creating a sense of volume and movement. some strands frame her face,1
partially obscuring her expression. * **eyes:** deep,1
piercing grey eyes,1
reflecting the stormy sea. they hold a hint of sadness and a profound sense of contemplation. the pupils are slightly dilated,1
adding to the intensity of her gaze. * **body shape:** slender and athletic,1
with a lean musculature visible beneath her clothing. she has a naturally graceful posture,1
suggesting strength and resilience. * **clothing:** a flowing,1
floor length gown made of a heavy,1
dark charcoal grey silk. the fabric drapes dramatically around her,1
partially clinging to her form,1
emphasizing her curves. the sleeves are long and wide,1
ending in delicate,1
slightly frayed cuffs. a single,1
intricately carved silver pendant,1
shaped like a stylized wave,1
hangs from a delicate chain around her neck. * **arms & hands:** her arms are slightly bent at the elbows,1
one hand subtly reaching out towards the sea,1
as if attempting to touch the waves. her fingers are long and elegant,1
with detailed nails. * **legs & feet:** her legs are extended,1
dark grey stockings that reveal the delicate curve of her calves. her feet are bare,1
the skin pale and smooth. * **face expression:** a subtle,1
almost imperceptible,1
melancholic expression. her lips are slightly parted,1
as if she’s about to speak,1
but no words are uttered. **atmosphere & lighting:** * **color palette:** primarily dark grey,1
charcoal black,1
and muted silver tones. subtle hints of blue grey in the ocean. * **lighting:** dramatic,1
cinematic lighting. a single,1
large,1
diffused light source originates from the left,1
soft shadows that accentuate her form. glow emanating subtly from the waves,1
a faint,1
ethereal blue grey glow that catches the edges of her dress and hair. * **shadows:** deep,1
enveloping shadows that create a sense of mystery and isolation. * **weather:** a fierce,1
windswept day. rain is visible as fine droplets hanging in the air. the wind whips her hair and dress around her. * **time & season:** late afternoon,1
autumn. the air is cold and damp. **background:** * the cliffside is composed of dark,1
jagged rocks,1
weathered by centuries of storms. * the ocean stretches out to the horizon,1
churning with dark,1
grey waves. * the sky is overcast with heavy,1
grey clouds,1
partially obscuring the sun. * fine mist hangs in the air,1
creating a hazy effect. **camera angle & effects:** * low angle shot,1
